Date,TCI,GPR
28-08-2015,27.2835620373911,52.8857
31-08-2015,27.4156391218037,79.24803
01-09-2015,26.1570248599581,96.32668
02-09-2015,26.7177243815652,75.71584
03-09-2015,26.230021311659,85.48562
04-09-2015,25.894071634726,98.02913
08-09-2015,25.0656817106446,117.95494
09-09-2015,24.5019635548584,142.70853
10-09-2015,24.1210391642634,143.31256
11-09-2015,23.6298833472242,118.87204
14-09-2015,23.5634451956753,79.9413
15-09-2015,23.024242146553,122.68769
16-09-2015,22.7326190100589,83.47319
17-09-2015,23.4607353083384,83.40997
18-09-2015,23.1302915142749,83.91306
21-09-2015,23.1074521386428,86.41481
22-09-2015,22.6872677269033,188.75031
23-09-2015,22.9440804620104,85.77549
24-09-2015,24.0889718477546,88.69506
25-09-2015,23.9994212398386,81.83991
28-09-2015,23.4507423279819,92.1321
29-09-2015,24.2344811181007,111.60942
30-09-2015,22.8643973111942,101.27596
01-10-2015,22.7936231001006,128.45445
02-10-2015,22.707811423223,180.35091
05-10-2015,24.6002944686034,91.09561
06-10-2015,25.5234501159307,113.13415
07-10-2015,26.1356625422588,110.68246
08-10-2015,26.2079022037069,70.63837
09-10-2015,25.4880824414667,88.38638
12-10-2015,25.4333414455856,79.315
13-10-2015,24.584026525514,80.68501
14-10-2015,25.1858463215088,105.43983
15-10-2015,24.2452809736578,84.31991
16-10-2015,24.5674748719987,90.19367
19-10-2015,23.9730856405994,85.07397
20-10-2015,23.7192030115336,70.16029
21-10-2015,23.2330549305131,69.37315
22-10-2015,23.467083317527,68.85245
23-10-2015,23.1565008971741,79.13985
26-10-2015,23.1445945609266,83.86247
27-10-2015,22.8122086736308,49.44131
28-10-2015,23.6933709224152,68.03734
29-10-2015,25.2845940828358,62.64903
30-10-2015,24.5680466141591,91.50739
02-11-2015,23.5959711718353,109.9193
03-11-2015,23.2049692856758,53.27229
04-11-2015,23.5141523296427,96.48255
05-11-2015,23.2050233973288,60.44831
06-11-2015,23.0319325636996,89.18452
09-11-2015,22.3406821437402,87.30798
10-11-2015,23.5121236400594,85.30217
11-11-2015,23.3830013149859,51.98038
12-11-2015,23.3364106707174,44.11855
13-11-2015,23.4100702696383,61.57189
