Date,EPU,TCI
08-06-2012,127.91,27.0433117021392
11-06-2012,160.88,26.9495487028147
12-06-2012,92.04,26.8958906820532
13-06-2012,142.39,26.5483194371735
14-06-2012,76.57,26.1573730897614
15-06-2012,218,25.8145604309491
18-06-2012,191.92,26.1942430184987
19-06-2012,133.65,26.0204620712515
20-06-2012,162.54,26.9778125269408
21-06-2012,162.47,26.6377636602953
22-06-2012,202.5,27.8568231642839
25-06-2012,167.88,28.0683210131775
26-06-2012,91.77,28.9113031989062
27-06-2012,190.31,28.0638890142716
28-06-2012,158.77,27.8637970975544
29-06-2012,304.81,27.7381338556036
02-07-2012,147.52,32.494290302372
03-07-2012,104.67,31.6303408267339
05-07-2012,108.29,31.3088293152406
06-07-2012,145.09,31.210966283321
09-07-2012,142.06,31.0774095000769
10-07-2012,251.27,31.0594452293116
11-07-2012,268.08,31.0974083029673
12-07-2012,184.75,30.7668207503289
13-07-2012,278.29,30.4212194897442
16-07-2012,212.41,29.8448121242887
17-07-2012,205.58,29.7413058879951
18-07-2012,213.86,29.601492096627
19-07-2012,168.71,29.5168695899454
20-07-2012,172.74,28.6230773296133
23-07-2012,157.65,28.5716174459638
24-07-2012,139.34,30.7051689301984
25-07-2012,134.93,30.7320192096903
26-07-2012,68.36,30.3975646907821
27-07-2012,128.12,30.5850394837979
30-07-2012,166.93,30.4928850448686
31-07-2012,109.48,29.6361691249557
01-08-2012,138.78,29.347187077902
02-08-2012,130.32,29.3682641197531
03-08-2012,168.04,28.7115530859506
06-08-2012,143.81,28.4179355015383
07-08-2012,141.07,28.1310310141215
08-08-2012,86.84,28.3568854223443
09-08-2012,90.46,27.8749427019096
10-08-2012,100.51,27.8414666656146
13-08-2012,177.44,27.3805264258782
14-08-2012,168.47,27.0730846845993
15-08-2012,135.19,26.7273543249352
16-08-2012,148.34,26.6226820849938
17-08-2012,114.42,26.4609192163559
20-08-2012,110.74,26.4563100306684
21-08-2012,110.31,25.9809985883358
22-08-2012,104.4,25.7313203318642
23-08-2012,132.5,25.8507015597247
24-08-2012,203.4,25.9581810605044
27-08-2012,118.65,25.6418129592936
28-08-2012,102.07,25.5478330423542
29-08-2012,110.02,25.093323588092
30-08-2012,149.59,25.1311022918319
31-08-2012,259.97,25.5904439901403
04-09-2012,117.1,26.4334901608957
05-09-2012,140.89,25.5515403810269
06-09-2012,135.68,25.3982476480481
07-09-2012,195.5,24.1000876536408
10-09-2012,125.36,24.3371698928683
11-09-2012,68.01,23.7055263969135
12-09-2012,121.8,24.0685107538798
13-09-2012,150.37,23.8630232066624
14-09-2012,212.66,23.2525541787882
17-09-2012,112.47,24.2963309857936
18-09-2012,170.21,23.6524464909092
19-09-2012,174.22,23.514066652966
20-09-2012,133.41,22.7694299427577
21-09-2012,152.08,22.8603149557272
24-09-2012,203.28,22.1470948596989
25-09-2012,126.11,21.453866422351
26-09-2012,105.56,21.9533134418395
27-09-2012,79.76,23.8117621621246
28-09-2012,159.61,24.3362993851062
01-10-2012,178.17,24.0347157236953
02-10-2012,138.68,23.7200828721668
03-10-2012,152.28,23.4085144971642
04-10-2012,108.3,22.9369278004112
