Date,Carbon,TCI
04-03-2015,140.48,18.1125871777536
05-03-2015,134.93,16.4305345477514
06-03-2015,135.92,16.1837671249552
09-03-2015,133.54,16.7541913319954
10-03-2015,136.32,16.8955160364801
11-03-2015,135.13,17.9205562600057
12-03-2015,128.18,17.2415149883705
13-03-2015,129.17,17.0902065031419
16-03-2015,129.77,17.6877261812111
17-03-2015,134.53,17.464989806895
18-03-2015,134.73,17.259191404786
19-03-2015,133.34,17.704309041817
20-03-2015,140.68,17.3737124106733
23-03-2015,140.68,17.6376131653297
24-03-2015,140.48,17.6935750380365
25-03-2015,139.09,17.682687033164
26-03-2015,138.7,17.9623746764515
27-03-2015,135.13,17.3053693346828
30-03-2015,137.51,17.6143062486038
31-03-2015,138.3,17.4072608368376
01-04-2015,142.67,17.0433863890591
02-04-2015,142.67,16.7987855555898
07-04-2015,141.87,17.2999820212269
08-04-2015,142.07,17.1304991286996
09-04-2015,139.89,16.7335716076806
10-04-2015,138.5,16.7806924857992
13-04-2015,135.72,16.9774214199484
14-04-2015,135.72,16.909592530647
15-04-2015,136.71,16.8577357667916
16-04-2015,137.11,17.5376147390585
17-04-2015,136.51,17.1728391338772
20-04-2015,142.27,18.2730982597006
21-04-2015,141.28,18.2505656476712
22-04-2015,141.28,18.2177995003933
23-04-2015,144.65,18.6004805972914
24-04-2015,145.25,18.8533808132372
27-04-2015,142.67,17.7770309539093
28-04-2015,146.63,17.700277083693
29-04-2015,148.82,17.6900291536841
30-04-2015,147.43,17.2385812354386
01-05-2015,149.21,17.5590150666161
04-05-2015,151.2,17.4783523908689
05-05-2015,150.6,16.5572750710762
06-05-2015,150.21,16.3735145748621
07-05-2015,148.22,16.0489657346868
08-05-2015,150.21,16.1931173619094
11-05-2015,151.99,16.5129361289047
12-05-2015,151.4,16.0179247870719
13-05-2015,152.39,16.2963452923739
14-05-2015,150.6,16.1358581941596
15-05-2015,151.2,15.8097912281765
18-05-2015,151.4,15.9907229704721
19-05-2015,146.83,15.9521654211478
20-05-2015,146.44,15.5503040902954
21-05-2015,145.44,14.8874336834608
22-05-2015,145.64,14.8786121603275
26-05-2015,144.06,14.9609589174756
27-05-2015,143.06,16.2149104937768
28-05-2015,143.26,15.5304715513121
29-05-2015,146.04,15.263211074888
01-06-2015,144.45,15.3068772305232
