Date,TCI,VIX
21-06-2021,24.7367427927861,17.89
22-06-2021,25.5153350412827,16.66
23-06-2021,25.2602407463557,16.32
24-06-2021,25.0209639324215,15.97
25-06-2021,25.2890053398644,15.62
28-06-2021,24.3453562940519,15.76
29-06-2021,24.2177584232138,16.02
30-06-2021,23.3104604290842,15.83
01-07-2021,22.9952175460108,15.48
02-07-2021,22.0875002458276,15.07
06-07-2021,21.924849834287,16.44
07-07-2021,22.6958869709871,16.2
08-07-2021,21.373881844995,19
09-07-2021,21.0545744380335,16.18
12-07-2021,21.2405168623424,16.17
13-07-2021,20.6206413867492,17.12
14-07-2021,20.2025112579892,16.33
15-07-2021,19.7508034653034,17.01
16-07-2021,17.9823647444084,18.45
19-07-2021,17.8985683930711,22.5
20-07-2021,18.7450511339767,19.73
21-07-2021,19.1224124038357,17.91
22-07-2021,21.0899266628603,17.69
23-07-2021,20.7349375882453,17.2
26-07-2021,20.5851574822891,17.58
27-07-2021,20.8067940074604,19.36
28-07-2021,20.7155131395771,18.31
29-07-2021,21.3577062762382,17.7
30-07-2021,21.1584620872039,18.24
02-08-2021,20.6844144066496,19.46
03-08-2021,20.4859502775235,18.04
04-08-2021,20.530055080637,17.97
05-08-2021,20.9445991444044,17.28
06-08-2021,20.577571933102,16.15
09-08-2021,19.8356982141807,16.72
10-08-2021,19.079549207706,16.79
11-08-2021,19.1619077239553,16.06
12-08-2021,18.9297405317004,15.59
13-08-2021,18.3072934769488,15.45
16-08-2021,18.5598037931359,16.12
17-08-2021,18.5990975089593,17.91
18-08-2021,18.6683366288415,21.57
19-08-2021,18.1383440340338,21.67
20-08-2021,18.6129591130549,18.56
23-08-2021,17.8080332431755,17.15
24-08-2021,18.7885453628805,17.22
25-08-2021,20.2056842434797,16.79
26-08-2021,20.63136864,18.84
27-08-2021,21.1290818377071,16.39
30-08-2021,21.8789665229211,16.19
31-08-2021,20.58851075,16.48
01-09-2021,20.0494781480913,16.11
02-09-2021,19.7176833037409,16.41
03-09-2021,19.7831016975561,16.41
07-09-2021,20.1423058878665,18.14
08-09-2021,19.557320123938,17.96
09-09-2021,20.0411614686803,18.8
10-09-2021,19.0267336713288,20.95
13-09-2021,18.9074242853761,19.37
14-09-2021,18.2001578386216,19.46
15-09-2021,18.1591693802378,18.18
16-09-2021,18.08039384,18.69
17-09-2021,17.9351873158589,20.81
20-09-2021,17.493985858177,25.71
21-09-2021,18.2697618784903,24.36
22-09-2021,17.7989894128272,20.87
23-09-2021,17.4618025023513,18.63
24-09-2021,18.1113239098376,17.75
27-09-2021,18.0246459152845,18.76
28-09-2021,18.8215947318685,23.25
29-09-2021,20.2911935332382,22.56
30-09-2021,20.215501200211,23.14
01-10-2021,19.9486868442741,21.15
04-10-2021,19.7899063274588,22.96
05-10-2021,18.6858001747145,21.3
06-10-2021,18.6112122277236,21
07-10-2021,18.6813489573855,19.54
08-10-2021,19.3053874241106,18.77
11-10-2021,19.0583423122491,20
12-10-2021,18.4989876091055,19.85
13-10-2021,18.5884912922041,18.64
14-10-2021,20.0030971577271,16.86
15-10-2021,19.9948698437013,16.3
18-10-2021,19.1932439614277,16.31
19-10-2021,19.1972792877364,15.7
20-10-2021,19.4468983874311,15.49
21-10-2021,18.4355103453437,15.01
22-10-2021,18.0360701048361,15.43
25-10-2021,17.741794824091,15.24
26-10-2021,17.6412206737908,15.98
27-10-2021,17.1809470372412,16.98
28-10-2021,16.9657972300892,16.53
29-10-2021,17.4210512667371,16.26
01-11-2021,17.1917569663002,16.41
02-11-2021,17.5163790492939,16.03
03-11-2021,17.9340661224901,15.1
04-11-2021,18.1259730794323,15.44
05-11-2021,17.177180322134,16.48
08-11-2021,16.5997105364574,17.22
09-11-2021,16.6966496329779,17.78
10-11-2021,14.302711598422,18.73
11-11-2021,14.1281716558483,17.66
12-11-2021,14.0608508000389,16.29
15-11-2021,14.0626493384675,16.49
16-11-2021,14.762431445023,16.37
17-11-2021,14.6684645186155,17.11
18-11-2021,14.3648837630037,17.59
19-11-2021,14.4392384691883,17.91
22-11-2021,14.207465962852,19.17
23-11-2021,14.1609209923426,19.38
24-11-2021,14.2844105469725,18.58
26-11-2021,14.3935273558851,28.62
29-11-2021,16.7601194523823,22.96
30-11-2021,16.5355632305928,27.19
01-12-2021,16.7749949042527,31.12
02-12-2021,16.9313565589591,27.95
03-12-2021,16.6067966450317,30.67
06-12-2021,17.3562535951485,27.18
07-12-2021,17.4252913564363,21.89
08-12-2021,18.8049338075428,19.9
09-12-2021,18.3610158965281,21.58
10-12-2021,18.4841131145849,18.69
13-12-2021,18.344033146573,20.31
14-12-2021,18.1151392129375,21.89
15-12-2021,18.761232557103,19.29
16-12-2021,18.4811252213214,20.57
17-12-2021,17.7086511480787,21.57
20-12-2021,17.9848357533118,22.87
21-12-2021,19.6923337143754,21.01
22-12-2021,20.2212405872078,18.63
23-12-2021,19.7168782988074,17.96
27-12-2021,19.4270219716035,17.68
28-12-2021,18.5326667388348,17.54
29-12-2021,18.1826008054575,16.95
30-12-2021,18.095955264194,17.33
31-12-2021,18.2923827744479,17.22
03-01-2022,18.0402716840896,16.6
04-01-2022,17.8604368957392,16.91
05-01-2022,17.9679899255585,19.73
06-01-2022,19.3216715165663,19.61
07-01-2022,19.7304504210644,18.76
10-01-2022,19.6753666315795,19.4
11-01-2022,19.8955745212855,18.41
12-01-2022,20.5263109053642,17.62
13-01-2022,20.03984574,20.31
14-01-2022,20.0166482664302,19.19
18-01-2022,19.9864315619523,22.79
19-01-2022,20.2958321110529,23.85
20-01-2022,20.0449841536625,25.59
21-01-2022,19.3871141021736,28.85
24-01-2022,21.516628596169,29.9
25-01-2022,20.9847555730313,31.16
26-01-2022,21.6597494908257,31.96
27-01-2022,19.9849165100429,30.49
28-01-2022,20.0424692181475,27.66
31-01-2022,19.5613003794482,24.83
01-02-2022,21.1306673274541,21.96
02-02-2022,20.9995315903002,22.09
03-02-2022,20.5578309313403,24.35
04-02-2022,20.6421242283843,23.22
07-02-2022,20.0740364460514,22.86
08-02-2022,19.8046635963901,21.44
09-02-2022,19.674792485574,19.96
10-02-2022,20.2311694714642,23.91
11-02-2022,20.3174816933711,27.36
14-02-2022,19.7089559927543,28.33
15-02-2022,19.3950624863675,25.7
16-02-2022,21.912436722157,24.29
17-02-2022,21.6452201001398,28.11
18-02-2022,21.566541988471,27.75
22-02-2022,21.7796714327122,28.81
23-02-2022,21.7487045044824,31.02
24-02-2022,21.5200743302086,30.32
25-02-2022,22.8603979889407,27.59
28-02-2022,23.6995132748502,30.15
01-03-2022,26.2032058961799,33.32
02-03-2022,26.0741111148551,30.74
03-03-2022,25.9620290698299,30.48
